component,description,golden_accuracy,golden_macro_f1,golden_set_size,auto_handle_rate,escalation_rate,valid_automation_rate,valid_escalation_rate,false_automation_proxy_rate,semantic_relevance,semantic_grounding,semantic_actionability,semantic_tone,llm_evaluation_status,human_agreement_status,test_accuracy,test_macro_f1,intent_accuracy,normal_cases,boundary_cases,conservative_escalation_rate,proxy_label_caveat,auto_handle_cases_evaluated,actionable_step_pct,mean_response_length_words,action_adherence_proxy_pct,template_construction_safety,experiment_status,llm_as_judge,human_agreement
baseline_1_legacy_bot,Legacy difflib fuzzy matching + static SaaS keywords (Chatbot_Task4/chatbot/core.py),0.22,0.1286,200.0,N/A,N/A,N/A,N/A,N/A,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,NOT EXECUTED,NOT MEASURED,,,,,,,,,,,,,,,
baseline_2_tfidf_lr,"TfidfVectorizer(ngram(1,2), 15k) + LogisticRegression(balanced, C=2.0)",0.98,0.9771,200.0,N/A,N/A,N/A,N/A,N/A,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,NOT EXECUTED,NOT MEASURED,0.9851,0.9739,,,,,,,,,,,,,
stage_5_trust_aware_pipeline,Full pipeline: Intent → Retrieval → Extraction → Trust → Generation,,,200.0,0.57,0.43,0.51,0.205,0.06,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,NOT EXECUTED,NOT MEASURED,,,0.98,174.0,26.0,0.225,Escalation ground truth derived from proxy labels (high-risk intents + ambiguity flags). Not validated human labels.,,,,,,,,
stage_6_deterministic_generator,Template-based generator strictly bound to extracted historical action,,,,,,,,,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,NOT EXECUTED,NOT MEASURED,,,,,,,,114.0,100.0,21.8,N/A,"Because the deterministic generator uses fixed templates, it does not dynamically generate novel factual claims. This is a construction property, not a semantic hallucination evaluation.",,,
stage_7_llm_generator,Model-agnostic LLM generator behind BaseGenerator interface,,,,,,,,,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,N/A — not independently measured,NOT EXECUTED,NOT MEASURED,,,,,,,,,,,,,NOT EXECUTED — API KEY UNAVAILABLE,NOT EXECUTED,NOT MEASURED
